id,name,generation,type_1,type_2,ability_1,ability_2,hidden_ability,is_legendary,hp,atk,def,sp_atk,sp_def,speed,total
147,dratini,1,dragon,,shed-skin,,marvel-scale,0,41,64,45,50,50,50,300
148,dragonair,1,dragon,,shed-skin,,marvel-scale,0,61,84,65,70,70,70,420
149,dragonite,1,dragon,flying,inner-focus,,multiscale,0,91,134,95,100,100,80,600
150,mewtwo,1,psychic,,pressure,,unnerve,1,106,110,90,154,90,130,680
151,mew,1,psychic,,synchronize,,,1,100,100,100,100,100,100,600
152,chikorita,2,grass,,overgrow,,leaf-guard,0,45,49,65,49,65,45,318
153,bayleef,2,grass,,overgrow,,leaf-guard,0,60,62,80,63,80,60,405
154,meganium,2,grass,,overgrow,,leaf-guard,0,80,82,100,83,100,80,525
155,cyndaquil,2,fire,,blaze,,flash-fire,0,39,52,43,60,50,65,309
156,quilava,2,fire,,blaze,,flash-fire,0,58,64,58,80,65,80,405
157,typhlosion,2,fire,,blaze,,flash-fire,0,78,84,78,109,85,100,534
158,totodile,2,water,,torrent,,sheer-force,0,50,65,64,44,48,43,314
159,croconaw,2,water,,torrent,,sheer-force,0,65,80,80,59,63,58,405
160,feraligatr,2,water,,torrent,,sheer-force,0,85,105,100,79,83,78,530
161,sentret,2,normal,,run-away,keen-eye,frisk,0,35,46,34,35,45,20,215
162,furret,2,normal,,run-away,keen-eye,frisk,0,85,76,64,45,55,90,415
163,hoothoot,2,normal,flying,insomnia,keen-eye,tinted-lens,0,60,30,30,36,56,50,262
164,noctowl,2,normal,flying,insomnia,keen-eye,tinted-lens,0,100,50,50,86,96,70,452
165,ledyba,2,bug,flying,swarm,early-bird,rattled,0,40,20,30,40,80,55,265
166,ledian,2,bug,flying,swarm,early-bird,iron-fist,0,55,35,50,55,110,85,390
167,spinarak,2,bug,poison,swarm,insomnia,sniper,0,40,60,40,40,40,30,250
168,ariados,2,bug,poison,swarm,insomnia,sniper,0,70,90,70,60,70,40,400
169,crobat,2,poison,flying,inner-focus,,infiltrator,0,85,90,80,70,80,130,535
170,chinchou,2,water,electric,volt-absorb,illuminate,water-absorb,0,75,38,38,56,56,67,330
171,lanturn,2,water,electric,volt-absorb,illuminate,water-absorb,0,125,58,58,76,76,67,460
172,pichu,2,electric,,static,,lightning-rod,0,20,40,15,35,35,60,205
173,cleffa,2,fairy,,cute-charm,magic-guard,friend-guard,0,50,25,28,45,55,15,218
174,igglybuff,2,normal,fairy,cute-charm,competitive,friend-guard,0,90,30,15,40,20,15,210
175,togepi,2,fairy,,hustle,serene-grace,super-luck,0,35,20,65,40,65,20,245
176,togetic,2,fairy,flying,hustle,serene-grace,super-luck,0,55,40,85,80,105,40,405
177,natu,2,psychic,flying,synchronize,early-bird,magic-bounce,0,40,50,45,70,45,70,320
178,xatu,2,psychic,flying,synchronize,early-bird,magic-bounce,0,65,75,70,95,70,95,470
179,mareep,2,electric,,static,,plus,0,55,40,40,65,45,35,280
180,flaaffy,2,electric,,static,,plus,0,70,55,55,80,60,45,365
181,ampharos,2,electric,,static,,plus,0,90,75,85,115,90,55,510
182,bellossom,2,grass,,chlorophyll,,healer,0,75,80,95,90,100,50,490
183,marill,2,water,fairy,thick-fat,huge-power,sap-sipper,0,70,20,50,20,50,40,250
184,azumarill,2,water,fairy,thick-fat,huge-power,sap-sipper,0,100,50,80,60,80,50,420
185,sudowoodo,2,rock,,sturdy,rock-head,rattled,0,70,100,115,30,65,30,410
186,politoed,2,water,,water-absorb,damp,drizzle,0,90,75,75,90,100,70,500
187,hoppip,2,grass,flying,chlorophyll,leaf-guard,infiltrator,0,35,35,40,35,55,50,250
188,skiploom,2,grass,flying,chlorophyll,leaf-guard,infiltrator,0,55,45,50,45,65,80,340
189,jumpluff,2,grass,flying,chlorophyll,leaf-guard,infiltrator,0,75,55,70,55,95,110,460
190,aipom,2,normal,,run-away,pickup,skill-link,0,55,70,55,40,55,85,360
191,sunkern,2,grass,,chlorophyll,solar-power,early-bird,0,30,30,30,30,30,30,180
192,sunflora,2,grass,,chlorophyll,solar-power,early-bird,0,75,75,55,105,85,30,425
193,yanma,2,bug,flying,speed-boost,compound-eyes,frisk,0,65,65,45,75,45,95,390
194,wooper,2,water,ground,damp,water-absorb,unaware,0,55,45,45,25,25,15,210
195,quagsire,2,water,ground,damp,water-absorb,unaware,0,95,85,85,65,65,35,430
196,espeon,2,psychic,,synchronize,,magic-bounce,0,65,65,60,130,95,110,525
197,umbreon,2,dark,,synchronize,,inner-focus,0,95,65,110,60,130,65,525
198,murkrow,2,dark,flying,insomnia,super-luck,prankster,0,60,85,42,85,42,91,405
199,slowking,2,water,psychic,oblivious,own-tempo,regenerator,0,95,75,80,100,110,30,490
200,misdreavus,2,ghost,,levitate,,,0,60,60,60,85,85,85,435
201,unown,2,psychic,,levitate,,,0,48,72,48,72,48,48,336
202,wobbuffet,2,psychic,,shadow-tag,,telepathy,0,190,33,58,33,58,33,405
203,girafarig,2,normal,psychic,inner-focus,early-bird,sap-sipper,0,70,80,65,90,65,85,455
204,pineco,2,bug,,sturdy,,overcoat,0,50,65,90,35,35,15,290
205,forretress,2,bug,steel,sturdy,,overcoat,0,75,90,140,60,60,40,465
206,dunsparce,2,normal,,serene-grace,run-away,rattled,0,100,70,70,65,65,45,415
207,gligar,2,ground,flying,hyper-cutter,sand-veil,immunity,0,65,75,105,35,65,85,430
208,steelix,2,steel,ground,rock-head,sturdy,sheer-force,0,75,85,200,55,65,30,510
209,snubbull,2,fairy,,intimidate,run-away,rattled,0,60,80,50,40,40,30,300
210,granbull,2,fairy,,intimidate,quick-feet,rattled,0,90,120,75,60,60,45,450
211,qwilfish,2,water,poison,poison-point,swift-swim,intimidate,0,65,95,85,55,55,85,440
212,scizor,2,bug,steel,swarm,technician,light-metal,0,70,130,100,55,80,65,500
213,shuckle,2,bug,rock,sturdy,gluttony,contrary,0,20,10,230,10,230,5,505
214,heracross,2,bug,fighting,swarm,guts,moxie,0,80,125,75,40,95,85,500
215,sneasel,2,dark,ice,inner-focus,keen-eye,pickpocket,0,55,95,55,35,75,115,430
216,teddiursa,2,normal,,pickup,quick-feet,honey-gather,0,60,80,50,50,50,40,330
217,ursaring,2,normal,,guts,quick-feet,unnerve,0,90,130,75,75,75,55,500
218,slugma,2,fire,,magma-armor,flame-body,weak-armor,0,40,40,40,70,40,20,250
219,magcargo,2,fire,rock,magma-armor,flame-body,weak-armor,0,60,50,120,90,80,30,430
220,swinub,2,ice,ground,oblivious,snow-cloak,thick-fat,0,50,50,40,30,30,50,250
221,piloswine,2,ice,ground,oblivious,snow-cloak,thick-fat,0,100,100,80,60,60,50,450
222,corsola,2,water,rock,hustle,natural-cure,regenerator,0,65,55,95,65,95,35,410
223,remoraid,2,water,,hustle,sniper,moody,0,35,65,35,65,35,65,300
224,octillery,2,water,,suction-cups,sniper,moody,0,75,105,75,105,75,45,480
225,delibird,2,ice,flying,vital-spirit,hustle,insomnia,0,45,55,45,65,45,75,330
226,mantine,2,water,flying,swift-swim,water-absorb,water-veil,0,85,40,70,80,140,70,485
227,skarmory,2,steel,flying,keen-eye,sturdy,weak-armor,0,65,80,140,40,70,70,465
228,houndour,2,dark,fire,early-bird,flash-fire,unnerve,0,45,60,30,80,50,65,330
229,houndoom,2,dark,fire,early-bird,flash-fire,unnerve,0,75,90,50,110,80,95,500
230,kingdra,2,water,dragon,swift-swim,sniper,damp,0,75,95,95,95,95,85,540
231,phanpy,2,ground,,pickup,,sand-veil,0,90,60,60,40,40,40,330
232,donphan,2,ground,,sturdy,,sand-veil,0,90,120,120,60,60,50,500
233,porygon2,2,normal,,trace,download,analytic,0,85,80,90,105,95,60,515
234,stantler,2,normal,,intimidate,frisk,sap-sipper,0,73,95,62,85,65,85,465
235,smeargle,2,normal,,own-tempo,technician,moody,0,55,20,35,20,45,75,250
236,tyrogue,2,fighting,,guts,steadfast,vital-spirit,0,35,35,35,35,35,35,210
237,hitmontop,2,fighting,,intimidate,technician,steadfast,0,50,95,95,35,110,70,455
238,smoochum,2,ice,psychic,oblivious,forewarn,hydration,0,45,30,15,85,65,65,305
239,elekid,2,electric,,static,,vital-spirit,0,45,63,37,65,55,95,360
240,magby,2,fire,,flame-body,,vital-spirit,0,45,75,37,70,55,83,365
241,miltank,2,normal,,thick-fat,scrappy,sap-sipper,0,95,80,105,40,70,100,490
242,blissey,2,normal,,natural-cure,serene-grace,healer,0,255,10,10,75,135,55,540
243,raikou,2,electric,,pressure,,inner-focus,1,90,85,75,115,100,115,580
244,entei,2,fire,,pressure,,inner-focus,1,115,115,85,90,75,100,580
245,suicune,2,water,,pressure,,inner-focus,1,100,75,115,90,115,85,580
246,larvitar,2,rock,ground,guts,,sand-veil,0,50,64,50,45,50,41,300
247,pupitar,2,rock,ground,shed-skin,,,0,70,84,70,65,70,51,410
248,tyranitar,2,rock,dark,sand-stream,,unnerve,0,100,134,110,95,100,61,600
249,lugia,2,psychic,flying,pressure,,multiscale,1,106,90,130,90,154,110,680
250,ho-oh,2,fire,flying,pressure,,regenerator,1,106,130,90,110,154,90,680
251,celebi,2,psychic,grass,natural-cure,,,1,100,100,100,100,100,100,600
252,treecko,3,grass,,overgrow,,unburden,0,40,45,35,65,55,70,310
253,grovyle,3,grass,,overgrow,,unburden,0,50,65,45,85,65,95,405
254,sceptile,3,grass,,overgrow,,unburden,0,70,85,65,105,85,120,530
255,torchic,3,fire,,blaze,,speed-boost,0,45,60,40,70,50,45,310
256,combusken,3,fire,fighting,blaze,,speed-boost,0,60,85,60,85,60,55,405
257,blaziken,3,fire,fighting,blaze,,speed-boost,0,80,120,70,110,70,80,530
258,mudkip,3,water,,torrent,,damp,0,50,70,50,50,50,40,310
259,marshtomp,3,water,ground,torrent,,damp,0,70,85,70,60,70,50,405
260,swampert,3,water,ground,torrent,,damp,0,100,110,90,85,90,60,535
261,poochyena,3,dark,,run-away,quick-feet,rattled,0,35,55,35,30,30,35,220
262,mightyena,3,dark,,intimidate,quick-feet,moxie,0,70,90,70,60,60,70,420
263,zigzagoon,3,normal,,pickup,gluttony,quick-feet,0,38,30,41,30,41,60,240
264,linoone,3,normal,,pickup,gluttony,quick-feet,0,78,70,61,50,61,100,420
265,wurmple,3,bug,,shield-dust,,run-away,0,45,45,35,20,30,20,195
266,silcoon,3,bug,,shed-skin,,,0,50,35,55,25,25,15,205
267,beautifly,3,bug,flying,swarm,,rivalry,0,60,70,50,100,50,65,395
268,cascoon,3,bug,,shed-skin,,,0,50,35,55,25,25,15,205
269,dustox,3,bug,poison,shield-dust,,compound-eyes,0,60,50,70,50,90,65,385
270,lotad,3,water,grass,swift-swim,rain-dish,own-tempo,0,40,30,30,40,50,30,220
271,lombre,3,water,grass,swift-swim,rain-dish,own-tempo,0,60,50,50,60,70,50,340
272,ludicolo,3,water,grass,swift-swim,rain-dish,own-tempo,0,80,70,70,90,100,70,480
273,seedot,3,grass,,chlorophyll,early-bird,pickpocket,0,40,40,50,30,30,30,220
274,nuzleaf,3,grass,dark,chlorophyll,early-bird,pickpocket,0,70,70,40,60,40,60,340
275,shiftry,3,grass,dark,chlorophyll,wind-rider,pickpocket,0,90,100,60,90,60,80,480
276,taillow,3,normal,flying,guts,,scrappy,0,40,55,30,30,30,85,270
277,swellow,3,normal,flying,guts,,scrappy,0,60,85,60,75,50,125,455
278,wingull,3,water,flying,keen-eye,hydration,rain-dish,0,40,30,30,55,30,85,270
279,pelipper,3,water,flying,keen-eye,drizzle,rain-dish,0,60,50,100,95,70,65,440
280,ralts,3,psychic,fairy,synchronize,trace,telepathy,0,28,25,25,45,35,40,198
281,kirlia,3,psychic,fairy,synchronize,trace,telepathy,0,38,35,35,65,55,50,278
282,gardevoir,3,psychic,fairy,synchronize,trace,telepathy,0,68,65,65,125,115,80,518
283,surskit,3,bug,water,swift-swim,,rain-dish,0,40,30,32,50,52,65,269
284,masquerain,3,bug,flying,intimidate,,unnerve,0,70,60,62,100,82,80,454
285,shroomish,3,grass,,effect-spore,poison-heal,quick-feet,0,60,40,60,40,60,35,295
286,breloom,3,grass,fighting,effect-spore,poison-heal,technician,0,60,130,80,60,60,70,460
287,slakoth,3,normal,,truant,,,0,60,60,60,35,35,30,280
288,vigoroth,3,normal,,vital-spirit,,,0,80,80,80,55,55,90,440
289,slaking,3,normal,,truant,,,0,150,160,100,95,65,100,670
290,nincada,3,bug,ground,compound-eyes,,run-away,0,31,45,90,30,30,40,266
291,ninjask,3,bug,flying,speed-boost,,infiltrator,0,61,90,45,50,50,160,456
292,shedinja,3,bug,ghost,wonder-guard,,,0,1,90,45,30,30,40,236
293,whismur,3,normal,,soundproof,,rattled,0,64,51,23,51,23,28,240
294,loudred,3,normal,,soundproof,,scrappy,0,84,71,43,71,43,48,360
295,exploud,3,normal,,soundproof,,scrappy,0,104,91,63,91,73,68,490
296,makuhita,3,fighting,,thick-fat,guts,sheer-force,0,72,60,30,20,30,25,237
297,hariyama,3,fighting,,thick-fat,guts,sheer-force,0,144,120,60,40,60,50,474
298,azurill,3,normal,fairy,thick-fat,huge-power,sap-sipper,0,50,20,40,20,40,20,190
299,nosepass,3,rock,,sturdy,magnet-pull,sand-force,0,30,45,135,45,90,30,375
300,skitty,3,normal,,cute-charm,normalize,wonder-skin,0,50,45,45,35,35,50,260
301,delcatty,3,normal,,cute-charm,normalize,wonder-skin,0,70,65,65,55,55,90,400
302,sableye,3,dark,ghost,keen-eye,stall,prankster,0,50,75,75,65,65,50,380
303,mawile,3,steel,fairy,hyper-cutter,intimidate,sheer-force,0,50,85,85,55,55,50,380
304,aron,3,steel,rock,sturdy,rock-head,heavy-metal,0,50,70,100,40,40,30,330
305,lairon,3,steel,rock,sturdy,rock-head,heavy-metal,0,60,90,140,50,50,40,430
306,aggron,3,steel,rock,sturdy,rock-head,heavy-metal,0,70,110,180,60,60,50,530
307,meditite,3,fighting,psychic,pure-power,,telepathy,0,30,40,55,40,55,60,280
308,medicham,3,fighting,psychic,pure-power,,telepathy,0,60,60,75,60,75,80,410
309,electrike,3,electric,,static,lightning-rod,minus,0,40,45,40,65,40,65,295
310,manectric,3,electric,,static,lightning-rod,minus,0,70,75,60,105,60,105,475
311,plusle,3,electric,,plus,,lightning-rod,0,60,50,40,85,75,95,405
312,minun,3,electric,,minus,,volt-absorb,0,60,40,50,75,85,95,405
313,volbeat,3,bug,,illuminate,swarm,prankster,0,65,73,75,47,85,85,430
314,illumise,3,bug,,oblivious,tinted-lens,prankster,0,65,47,75,73,85,85,430
315,roselia,3,grass,poison,natural-cure,poison-point,leaf-guard,0,50,60,45,100,80,65,400
316,gulpin,3,poison,,liquid-ooze,sticky-hold,gluttony,0,70,43,53,43,53,40,302
317,swalot,3,poison,,liquid-ooze,sticky-hold,gluttony,0,100,73,83,73,83,55,467
318,carvanha,3,water,dark,rough-skin,,speed-boost,0,45,90,20,65,20,65,305
319,sharpedo,3,water,dark,rough-skin,,speed-boost,0,70,120,40,95,40,95,460
